Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
50196744,Know My Name,Chanel Miller,"Miller, Chanel",,"=""0735223718""","=""9780735223714""",0,4.71,Viking,ebook,368,2019,2019,,2020/12/21,to-read,to-read (#358),to-read,,,,0,,,0,,,,,
43923951,Such a Fun Age,Kiley Reid,"Reid, Kiley",,"=""052554190X""","=""9780525541905""",4,3.85,G.P. Putnam's Sons,Hardcover,310,2019,2019,,2020/12/20,,,read,,,,1,,,0,,,,,
36288143,Brotopia: Breaking Up the Boys' Club of Silicon Valley,Emily  Chang,"Chang, Emily",,"=""""","=""""",0,4.01,Portfolio,Kindle Edition,317,2018,2018,,2020/03/08,to-read,to-read (#357),to-read,,,,0,,,0,,,,,
18626849,Stories of Your Life and Others,Ted Chiang,"Chiang, Ted",,"=""""","=""""",0,4.23,Vintage,Kindle Edition,285,2010,2002,,2020/10/17,"sci-fi, currently-reading","sci-fi (#8), currently-reading (#2)",currently-reading,,,,1,,,0,,,,,
45932891,"One of Us Is Next (One of Us Is Lying, #2)",Karen M. McManus,"McManus, Karen M.",,"=""""","=""""",3,4.03,Delacorte Press,Kindle Edition,374,2020,2020,2020/12/16,2020/12/14,,,read,,,,1,,,0,,,,,
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",0,4.52,Penguin Group DAW,Hardcover,662,2007,2007,,2020/12/16,to-read,to-read (#356),to-read,,,,0,,,0,,,,,
43884209,"Get a Life, Chloe Brown (The Brown Sisters, #1)",Talia Hibbert,"Hibbert, Talia",,"=""0062941208""","=""9780062941206""",0,3.86,Avon,Paperback,373,2019,2019,,2020/12/13,to-read,to-read (#355),to-read,,,,0,,,0,,,,,
12000020,"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe, #1)",Benjamin Alire Sáenz,"Sáenz, Benjamin Alire",,"=""1442408928""","=""9781442408920""",0,4.33,Simon & Schuster Books for Young Readers,Hardcover,359,2012,2012,,2020/12/13,to-read,to-read (#354),to-read,,,,0,,,0,,,,,
16004181,Amatka,Karin Tidbeck,"Tidbeck, Karin",,"=""9186843540""","=""9789186843540""",0,3.79,Mix Förlag,Hardcover,224,2012,2012,,2020/12/13,to-read,to-read (#353),to-read,,,,0,,,0,,,,,
50520832,Room-maid,Sariah Wilson,"Wilson, Sariah",,"=""""","=""""",2,3.87,Montlake,Kindle Edition,301,2020,2020,2020/12/12,2020/12/11,,,read,,,,1,,,0,,,,,
